config,target_ps,delay_ps,fmax_mhz,area_um2
базовое,5000,2383.57,419.5,14503.916
базовое,3000,2383.57,419.5,14503.916
базовое,2000,2096.03,477.1,14560.84
базовое,1500,2096.03,477.1,14560.84
базовое,1200,2096.03,477.1,14560.84
базовое,1000,2096.03,477.1,14560.84
базовое,800,2096.03,477.1,14560.84
с CHK,5000,2550.72,392.0,14626.276
с CHK,3000,2550.72,392.0,14626.276
с CHK,2000,2134.6,468.5,14683.998
с CHK,1500,2134.6,468.5,14683.998
с CHK,1200,2134.6,468.5,14683.998
с CHK,1000,2134.6,468.5,14683.998
с CHK,800,2134.6,468.5,14683.998
